SMILES,CANON_SMILES,MolecularFormula,MolecularWeight,Exp_logp
C(O)[I-]S,OC[I-]S,CH4IOS-,191.013,0.8
CC(COC)NC,CNC(C)COC,C5H13NO,103.165,0.1
C[11CH-]I,C[11CH-]I,C2H4I-,153.9584336,2.1
C1C[SH+]CCO1,C1C[SH+]CCO1,C4H9OS+,105.182,0.5
CC(CCF)NC,CNC(C)CCF,C5H12FN,105.156,0.9
CC(C(F)F)Cl,CC(Cl)C(F)F,C3H5ClF2,114.522,2.1
[2H][12C]([2H])([2H])I,[2H][12C]([2H])([2H])I,CH3I,144.9463053,1.5
C(COCCN)N,NCCOCCN,C4H12N2O,104.153,-1.8
C(N)[I-]F,NC[I-]F,CH4FIN-,175.952,0.6
C(COCCO)O,OCCOCCO,C4H10O3,106.121,-1.3
CC[C@@H](CCCl)Cl,CC[C@H](Cl)CCCl,C5H10Cl2,141.041,2.7
C(C(F)(F)F)N,NCC(F)(F)F,C2H4F3N,99.055,0.2
CCNNNNI,CCNNNNI,C2H9IN4,216.026,-0.2
CCSOOOS,CCSOOOS,C2H6O3S2,142.201,1.5
CC[C@@H](C)CCS,CC[C@@H](C)CCS,C6H14S,118.245,2.7
C(N)(O)(F)F,NC(O)(F)F,CH3F2NO,83.037,-0.5
[CH2]C(F)(F)F,[CH2]C(F)(F)F,C2H2F3,83.032,1.7
C[CH]CCC(C)C,C[CH]CCC(C)C,C7H15,99.197,3.7
C1CCPPCC1,C1CCPPCC1,C5H12P2,134.099,0.7
C1CC[N-]CC1,C1CC[N-]CC1,C5H10N-,84.142,0.8
C1CCSOC1,C1CCSOC1,C4H8OS,104.174,1
[2H]OCCSSCCO[2H],[2H]OCCSSCCO[2H],C4H10O2S2,156.2682036,-0.5
CCCCCSBr,CCCCCSBr,C5H11BrS,183.114,3.2
CCCN(C)C[18F],CCCN(C)C[18F],C5H12FN,104.158938,1.6
CC(O)P=O,CC(O)P=O,C2H5O2P,92.034,-1
CCSC[C]=O,CCSC[C]=O,C4H7OS,103.166,0.8
C([C@H](F)Br)Br,F[C@H](Br)CBr,C2H3Br2F,205.852,2.3
CC(C)N(C)[CH2-],[CH2-]N(C)C(C)C,C5H12N-,86.158,1.1
C/C=C\CCCl,C/C=C\CCCl,C5H9Cl,104.58,2.2
CC(S)I,CC(S)I,C2H5IS,188.033,1.7
C(CS)OOCN,NCOOCCS,C3H9NO2S,123.177,-0.4
CSSCSS,CSSCSS,C2H6S4,158.338,1.7
CCPSN,CCPSN,C2H8NPS,109.134,0
C=CCCSN,C=CCCSN,C4H9NS,103.19,0.8
C(CCOS)CO,OCCCCOS,C4H10O2S,122.189,0.6
CCCCOCCCC,CCCCOCCCC,C8H18O,130.231,3.2
CC(C)N(C)P,CC(C)N(C)P,C4H12NP,105.121,0.9
C1CCNNCC1,C1CCNNCC1,C5H12N2,100.165,0.4
CS(=S)S,CS(=S)S,CH4S3,112.244,2.8
C(=N\I)\I,I/C=N\I,CHI2N,280.834,1.7
C(CO)NCF,OCCNCF,C3H8FNO,93.101,-0.4
[3H]CCOCCS,[3H]CCOCCS,C4H10OS,108.1980493,0.7
C(SO)[I-]P,OSC[I-]P,CH5IOPS-,222.995,0.6
CC(C)OOOI,CC(C)OOOI,C3H7IO3,217.99,1.8
CCSSCF,CCSSCF,C3H7FS2,126.221,1.7
CC(C)C(C)N,CC(C)C(C)N,C5H13N,87.166,1
C(CBr)NCCI,BrCCNCCI,C4H9BrIN,277.931,1.7
CCCNSCCC,CCCNSCCC,C6H15NS,133.26,2
[2H]C1=CC=C(C=C1)[2H],[2H]c1ccc([2H])cc1,C6H6,80.12620356,2.1
CC=CCCS,CC=CCCS,C5H10S,102.202,1.9
C1C[CH]COC1,[CH]1CCCOC1,C5H9O,85.126,0.9
[2H]C([2H])(CC(C)C)O,[2H]C([2H])(O)CC(C)C,C5H12O,90.16220356,1.2
COCCCOCl,COCCCOCl,C4H9ClO2,124.567,1.1
CCC(N)SS,CCC(N)SS,C3H9NS2,123.246,1.1
[13CH3]S(=O)[O-],[13CH3]S(=O)[O-],CH3O2S-,80.09235484,-1.1
C[C@@H](COC)O,COC[C@H](C)O,C4H10O2,90.122,-0.2
C[C-](C)CCCC[CH2-],[CH2-]CCCC[C-](C)C,C8H16-2,112.216,4.3
[2H]C(CCCC)CCCCC,[2H]C(CCCC)CCCCC,C10H22,143.2921018,5
C=CCCC[CH],[CH]CCCC=C,C6H10,82.146,3.4
[CH2]CC(S)S,[CH2]CC(S)S,C3H7S2,107.223,1.9
C([C@H]([13CH2]O)O)O,OC[C@@H](O)[13CH2]O,C3H8O3,93.08635484,-1.8
CCNP([O-])[O-],CCNP([O-])[O-],C2H6NO2P-2,107.049,-1.1
CNC1SS1,CNC1SS1,C2H5NS2,107.203,0.5
C(OPO)POO,OOPCOPO,CH6O4P2,144.003,-1.2
CSOON=O,CSOON=O,CH3NO3S,109.106,0.5
C(CCS)CS,SCCCCS,C4H10S2,122.258,1.5
CI1C[I-]1,CI1C[I-]1,C2H5I2-,282.87,2.9
C(OOCCl)Cl,ClCOOCCl,C2H4Cl2O2,130.958,1.5
CC(C)CSCO,CC(C)CSCO,C5H12OS,120.217,1.6
C(F)SOO[O-],[O-]OOSCF,CH2FO3S-,113.089,0.4
CC(CO)COO,CC(CO)COO,C4H10O3,106.121,-0.3
CCCC(CBr)F,CCCC(F)CBr,C5H10BrF,169.037,2.6
C([13C@@H]([13CH2]O)O)O,OC[13C@H](O)[13CH2]O,C3H8O3,94.07870968,-1.8
CNCP(C)C,CNCP(C)C,C4H12NP,105.121,-0.4
C(N)(N)(N)SN,NSC(N)(N)N,CH8N4S,108.17,-2.9
CN(CCCl)Cl,CN(Cl)CCCl,C3H7Cl2N,128.002,1.2
C(I)I,ICI,CH2I2,267.835,2.3
CCS(O)(O)O,CCS(O)(O)O,C2H8O3S,112.15,-0.2
CSC(CO)O,CSC(O)CO,C3H8O2S,108.162,-0.3
C1[CH]CNCN1,[CH]1CNCNC1,C4H9N2,85.13,-0.4
[2H]C([2H])([2H])C(C([2H])([2H])[2H])P,[2H]C([2H])([2H])C(P)C([2H])([2H])[2H],C3H9P,82.11561067,0.7
COS[I-]O,COS[I-]O,CH4IO2S-,207.012,0.9
C(CF)OCS,FCCOCS,C3H7FOS,110.153,0.8
CC(C(C)S)[O-],CC([O-])C(C)S,C4H9OS-,105.182,1.8
CC(C)CCNO,CC(C)CCNO,C5H13NO,103.165,1
C[C@H]([C@H](Cl)Br)Br,C[C@@H](Br)[C@H](Cl)Br,C3H5Br2Cl,236.334,2.9
C(CCl)C(O)F,OC(F)CCCl,C3H6ClFO,112.531,1
C(=O)C(F)Br,O=CC(F)Br,C2H2BrFO,140.939,1
CC[CH]C(C)C,CC[CH]C(C)C,C6H13,85.17,3.2
CCSC(C)P,CCSC(C)P,C4H11PS,122.173,1.4
C(OOO)I,OOOCI,CH3IO3,189.936,0.4
C=CI=C,C=CI=C,C3H5I,167.977,2.3
CC[CH]Br,CC[CH]Br,C3H6Br,121.985,2.1
C(C(CI)Br)O,OCC(Br)CI,C3H6BrIO,264.888,1.5
[2H]C1=CSC=N1,[2H]c1cscn1,C3H3NS,86.13710178,0.4
C(C(CP)O)O,OCC(O)CP,C3H9O2P,108.077,-1.4
CCCCSPC,CCCCSPC,C5H13PS,136.2,1.6
C([C]=O)SCl,O=[C]CSCl,C2H2ClOS,109.557,0.8
C(P)PSSN,NSSPCP,CH7NP2S2,159.156,-0.2
C(N)SNN,NCSNN,CH7N3S,93.155,-1.4
C(C(CCl)Br)F,FCC(Br)CCl,C3H5BrClF,175.428,2
CC(OCS)Cl,CC(Cl)OCS,C3H7ClOS,126.608,1.6
CCCCC[I-]Cl,CCCCC[I-]Cl,C5H11ClI-,233.5,4.1
CCC(CCN)S,CCC(S)CCN,C5H13NS,119.233,0.9
C[CH]SS,C[CH]SS,C2H5S2,93.196,1.3
C(CSC=O)F,O=CSCCF,C3H5FOS,108.137,1
CSPSN,CSPSN,CH6NPS2,127.174,0.1
CN(C)CC[Cl+]C,C[Cl+]CCN(C)C,C5H13ClN+,122.619,0.9
C(=S)NSO,OSNC=S,CH3NOS2,109.175,0.1
CSSCC[NH3+],CSSCC[NH3+],C3H10NS2+,124.254,0
C[CH-]C/C=C\C,C/C=C\C[CH-]C,C6H11-,83.154,2.6
CCOOP(O)O,CCOOP(O)O,C2H7O4P,126.048,-0.6
C1[CH]COCN1,[CH]1CNCOC1,C4H8NO,86.114,-0.1
CN(COC)O,COCN(C)O,C3H9NO2,91.11,-0.3
C[C@@H]([CH2])CC(C)C,[CH2][C@H](C)CC(C)C,C7H15,99.197,3.4
CCN(C)CCO,CCN(C)CCO,C5H13NO,103.165,-0.1
CCP(CC)[S-],CCP([S-])CC,C4H10PS-,121.165,1.2
C[CH+]CC[C](N)O,C[CH+]CC[C](N)O,C5H11NO+,101.149,0.5
CC[CH]C(C)P,CC[CH]C(C)P,C5H12P,103.125,1.6
C[C@H](CCCCl)Cl,C[C@@H](Cl)CCCCl,C5H10Cl2,141.041,2.6
CCOCOBr,CCOCOBr,C3H7BrO2,154.991,1.3
C1CSP1S,SP1CCS1,C2H5PS2,124.17,0.6
CSCSCSC,CSCSCSC,C4H10S3,154.325,2.4
CN(N)Cl,CN(N)Cl,CH5ClN2,80.518,-0.1
C[C@H](CCOC)N,COCC[C@@H](C)N,C5H13NO,103.165,-0.1
[3H]N1CCNCC1,[3H]N1CCNCC1,C4H10N2,88.14604928,-1.5
C[CH]CCCOOC,C[CH]CCCOOC,C6H13O2,117.168,1.9
C(C(O)ON)O,NOC(O)CO,C2H7NO3,93.082,-1.9
C([C@H](CS)N)O,N[C@H](CO)CS,C3H9NOS,107.178,-1
[2H]C(=C)I,[2H]C(=C)I,C2H3I,154.9561018,1.7
C=NCCCCl,C=NCCCCl,C4H8ClN,105.568,2.3
CCCSSO,CCCSSO,C3H8OS2,124.23,1.3
[CH2]CC(F)(F)F,[CH2]CC(F)(F)F,C3H4F3,97.059,2.2
C[C@@H](C(F)F)F,C[C@H](F)C(F)F,C3H5F3,98.067,1.9
COCCP,COCCP,C3H9OP,92.078,-0.2
CC(C)([CH2-])CO,[CH2-]C(C)(C)CO,C5H11O-,87.142,1.3
CCC[C@@H](O)Br,CCC[C@@H](O)Br,C4H9BrO,153.019,1.7
CC(P(C)C)S,CC(S)P(C)C,C4H11PS,122.173,0.8
CCCCC[C-]=C,C=[C-]CCCCC,C7H13-,97.181,4
C(CF)[C@@H](O)Cl,O[C@@H](Cl)CCF,C3H6ClFO,112.531,1
CN(C)C(N)N,CN(C)C(N)N,C3H11N3,89.142,-1.4
C(C[NH3+])CNCC[NH3+],[NH3+]CCCNCC[NH3+],C5H17N3+2,119.212,-1.7
[CH2-]C([CH2+])CCCN,[CH2+]C([CH2-])CCCN,C6H13N,99.177,1.3
CC1SS1,CC1SS1,C2H4S2,92.188,1.2
CI(S)I,CI(S)I,CH4I2S,301.918,2.7
CCC([CH2])OCC,[CH2]C(CC)OCC,C6H13O,101.169,1.8
CCOCC[NH-],CCOCC[NH-],C4H10NO-,88.13,-0.5
CN(C)[S+](F)F,CN(C)[S+](F)F,C2H6F2NS+,114.14,2.2
CCCC[C@@H](C)Cl,CCCC[C@@H](C)Cl,C6H13Cl,120.623,3
CNNCCCN,CNNCCCN,C4H13N3,103.169,-1
C([CH]CBr)Br,BrC[CH]CBr,C3H5Br2,200.881,2.4
C[N-]CCSC,C[N-]CCSC,C4H10NS-,104.198,0.4
[2H]C(CC)C([2H])(C([2H])([2H])C([2H])([2H])[2H])O,[2H]C(CC)C([2H])(O)C([2H])([2H])C([2H])([2H])[2H],C6H14O,109.2197124,1.7
CC(CCCBr)F,CC(F)CCCBr,C5H10BrF,169.037,2.5
[CH2+]CCS[O-],[CH2+]CCS[O-],C3H6OS,90.147,0.8
CP(C)CCCO,CP(C)CCCO,C5H13OP,120.132,-0.4
C1CCC(C1)[O-],[O-]C1CCCC1,C5H9O-,85.126,1.9
CCONCNC,CCONCNC,C4H12N2O,104.153,-0.1
CP(CO)CO,CP(CO)CO,C3H9O2P,108.077,-1.2
CNSS,CNSS,CH5NS2,95.192,0.7
CON(CO)OC,CON(CO)OC,C3H9NO3,107.109,-0.2
C(CCCl)CO,OCCCCCl,C4H9ClO,108.568,0.8
C(=O)C(I)I,O=CC(I)I,C2H2I2O,295.845,1.2
C=CNCCN,C=CNCCN,C4H10N2,86.138,-0.1
[2H]C([2H])(CCCCBr)C([2H])([2H])Br,[2H]C([2H])(Br)C([2H])([2H])CCCCBr,C6H12Br2,247.9944071,3.2
CCCC(NC)O,CCCC(O)NC,C5H13NO,103.165,0.5
CCCCP(F)F,CCCCP(F)F,C4H9F2P,126.086,2.3
[2H]C([2H])(C([2H])(C)Cl)Cl,[2H]C([2H])(Cl)C([2H])(C)Cl,C3H6Cl2,116.0053053,1.8
CCS[C](C)C,CCS[C](C)C,C5H11S,103.21,2
CCCOC[CH2+],[CH2+]COCCC,C5H11O+,87.142,1.3
CPPC,CPPC,C2H8P2,94.034,-0.2
C(C[O-])CCl,[O-]CCCCl,C3H6ClO-,93.533,1.6
C(CC(O)O)CI,OC(O)CCCI,C4H9IO2,216.018,1
CS/C=C/C[CH2],[CH2]C/C=C/SC,C5H9S,101.194,2
COC(NN)S,COC(S)NN,C2H8N2OS,108.166,-0.5
CSC(N)NN,CSC(N)NN,C2H9N3S,107.182,-1
CCC(OC)F,CCC(F)OC,C4H9FO,92.113,1.5
CCC(C)C[N-]C,CCC(C)C[N-]C,C6H14N-,100.185,1.5
CCC(CC)SCC,CCSC(CC)CC,C7H16S,132.272,3.1
C(NC(F)F)(F)F,FC(F)NC(F)F,C2H3F4N,117.045,1.7
C(CF)NCCI,FCCNCCI,C4H9FIN,217.025,1.2
[3H]CSOO[3H],[3H]CSOO[3H],CH4O2S,84.12409856,0
CC[C@H](CN)F,CC[C@@H](F)CN,C4H10FN,91.129,0.6
C(CCl)CCl,ClCCCCl,C3H6Cl2,112.987,2
CCNNNCC,CCNNNCC,C4H13N3,103.169,0.1
CC(C(O)P)O,CC(O)C(O)P,C3H9O2P,108.077,-0.9
[2H]C#CCBr,[2H]C#CCBr,C3H3Br,119.9671018,1.1
CC(C)(S)S,CC(C)(S)S,C3H8S2,108.231,1.5
CC(COCO)O,CC(O)COCO,C4H10O3,106.121,-0.8
CON=NI,CON=NI,CH3IN2O,185.952,1.7
CCC[C](C)CC,CCC[C](C)CC,C7H15,99.197,3.7
C(C[PH+](O)[O-])N,NCC[PH+]([O-])O,C2H8NO2P,109.065,-2.1
COCCCOOC,COCCCOOC,C5H12O3,120.148,0.3
C(C(=O)[O-])[SH2+],O=C([O-])C[SH2+],C2H4O2S,92.119,0.8
C(CCI)CP,PCCCCI,C4H10IP,216.002,1.9
C[C@H](CO)S,C[C@@H](S)CO,C3H8OS,92.163,0.3
CCC(C)PCC,CCPC(C)CC,C6H15P,118.16,1.6
C(C(Cl)Br)F,FCC(Cl)Br,C2H3BrClF,161.401,2.1
CCC(CC)CCl,CCC(CC)CCl,C6H13Cl,120.623,2.9
CN([CH2+])CCCN,[CH2+]N(C)CCCN,C5H13N2+,101.173,-0.3
[2H]C([2H])(CBr)CBr,[2H]C([2H])(CBr)CBr,C3H6Br2,203.9012036,2.4
CN(C)CCNF,CN(C)CCNF,C4H11FN2,106.144,-0.1
C(=S)(F)F,FC(F)=S,CF2S,82.074,1.4
C1C(O1)Br,BrC1CO1,C2H3BrO,122.949,0.8
C[P+](C)(Cl)Cl,C[P+](C)(Cl)Cl,C2H6Cl2P+,131.95,1.5
C(CCON)CON,NOCCCCON,C4H12N2O2,120.152,-0.8
C(F)(Cl)(Cl)Br,FC(Cl)(Cl)Br,CBrCl2F,181.819,2.7
C[C-](C)N(C)C,C[C-](C)N(C)C,C5H12N-,86.158,1.1
[2H]C([2H])([2H])OCCC[CH+]C,[2H]C([2H])([2H])OCCC[CH+]C,C6H13O+,104.1873053,1.9
CCCC(CO)F,CCCC(F)CO,C5H11FO,106.14,1.2
