smiles,synth,logp,viscosity,enthalpy_vap,fitness
COCOC,0.788894,0.566463,0.660126,0.947245,0.713841
CC(=O)CN1CC1,0.923586,0.648507,0.550594,0.856765,0.713249
NCCN,0.822137,0.870808,0.480011,0.852796,0.711668
CC(C)(N)N,0.770702,0.709432,0.554801,0.896421,0.7111
CCN1CC1,0.995436,0.500392,0.644044,0.934875,0.711065
C1CNC1,0.948079,0.593063,0.563554,0.900718,0.711035
CC=O,0.657563,0.615779,0.693665,0.960828,0.710844
CNC,0.840876,0.598762,0.588585,0.934069,0.710616
NCN1CC1,0.723907,0.735231,0.568725,0.884935,0.710498
CNN,0.672625,0.726209,0.592073,0.927944,0.710434
ON1CC1,0.752482,0.73567,0.546761,0.893829,0.709727
NC(N)N,0.722186,0.997441,0.477774,0.863113,0.70936
COCCCN,0.902644,0.64025,0.549975,0.867474,0.709122
NN1CC1=O,0.651107,0.834142,0.572382,0.861006,0.708818
OO,0.650547,0.829022,0.552242,0.915014,0.70833
CCNCCOC,0.910872,0.566873,0.597233,0.899021,0.708137
COCCNC(C)=O,0.947609,0.656325,0.544777,0.808818,0.707851
CCOCCN,0.863498,0.636603,0.559848,0.87805,0.707463
CN(C)N,0.746847,0.6321,0.613319,0.90409,0.70702
COCC(=O)N(C)C,0.898475,0.665968,0.537357,0.839101,0.705806
COC(=O)NN1CC1,0.791038,0.732381,0.543594,0.832711,0.705458
COO,0.70524,0.637723,0.613047,0.949096,0.70536
COCCON,0.751554,0.690665,0.567188,0.882163,0.704831
COCCN(C)C,0.933986,0.55993,0.592803,0.883287,0.704765
CC(N)=O,0.925621,0.738578,0.479904,0.863593,0.70472
CC(=O)CN,0.819429,0.757542,0.505532,0.857213,0.703593
CCN(C)C(C)=O,0.828877,0.583052,0.610447,0.885256,0.703071
COCCC=O,0.751748,0.629678,0.608573,0.885337,0.702858
NC1C=C1,0.671361,0.661303,0.624676,0.917457,0.702682
CN1CCC1,1,0.504527,0.611964,0.928088,0.70254
CN1CCOCC1,0.877186,0.606966,0.560105,0.891928,0.702482
CCOCCOC,0.939154,0.528059,0.617399,0.890836,0.701661
CC(=O)N(C)C,0.892886,0.660858,0.543701,0.813041,0.701466
CCON,0.697634,0.614418,0.639489,0.927865,0.701451
CC(C)(C)N,0.874883,0.525625,0.623618,0.947936,0.701266
CNCCN1CC1,0.910244,0.672299,0.516863,0.842606,0.700822
CNCCCOC,0.903112,0.568204,0.586417,0.877911,0.700335
CCNC(=O)COC,0.933215,0.622059,0.5462,0.829269,0.699809
OC1=NCC1,0.700146,0.872924,0.514257,0.833463,0.699519
NC1COC1,0.738971,0.74241,0.523839,0.897494,0.698886
CC(=O)C=O,0.762741,0.675941,0.569993,0.846686,0.698573
CCCN,0.88721,0.522244,0.617043,0.937699,0.698201
COOC,0.72212,0.552209,0.663728,0.972079,0.697948
COCCOCCOC,0.919368,0.606489,0.552414,0.844193,0.697917
COCCC(N)=O,0.902427,0.714189,0.494561,0.830164,0.697485
COCCC#N,0.788668,0.646189,0.563648,0.869397,0.696879
CNC(=O)CCOC,0.90109,0.674031,0.521852,0.812157,0.696753
CN(C)CN,0.741155,0.661562,0.566273,0.896906,0.696658
CCOCCNC,0.866226,0.565402,0.59415,0.877014,0.696089
CC(=O)NN1CC1,0.779955,0.762923,0.515681,0.822508,0.695912
COCCNN,0.748737,0.720958,0.542709,0.84509,0.695829
c1ccnnc1,0.81754,0.652219,0.56656,0.812953,0.695467
NC(N)F,0.711963,0.730003,0.538085,0.8932,0.695357
c1cnccn1,0.894764,0.580954,0.560567,0.884539,0.695246
CC(N)(N)F,0.745994,0.689241,0.543913,0.889817,0.695202
CN(C)O,0.763194,0.603953,0.5933,0.905661,0.694964
COCCCOC,0.951853,0.522922,0.59819,0.891776,0.694929
CNC(=O)COC,0.898371,0.684793,0.508911,0.81995,0.694687
NC1=NCC1,0.717938,0.754921,0.53081,0.86345,0.694495
CN(C)C(N)=O,0.877513,0.703511,0.503008,0.825166,0.694331
CCN(C)C,0.921401,0.478385,0.660241,0.933481,0.69426
CCOC(C)=O,0.943044,0.488643,0.639447,0.913958,0.693857
COC(C)(N)N,0.650294,0.742186,0.564475,0.899962,0.693499
NC1CCC1,0.932402,0.553806,0.555903,0.914954,0.693239
CCC=O,0.749713,0.536117,0.660672,0.944568,0.693072
CCO,0.893276,0.586559,0.553333,0.876718,0.692979
CC1CO1,0.792709,0.508743,0.665668,0.956793,0.692696
CC(=O)F,0.815374,0.545793,0.618986,0.907759,0.692546
CC(=O)ON,0.744618,0.67114,0.557847,0.868526,0.692406
COCCOO,0.753569,0.65283,0.551548,0.903943,0.692263
CC1CN1,0.736948,0.594615,0.606354,0.915376,0.691999
CNOC,0.715545,0.591688,0.621958,0.921315,0.69194
COC(=O)CN(C)C,0.893867,0.595479,0.553109,0.849607,0.691679
COCC(=O)COC,0.817511,0.627651,0.556689,0.854247,0.691632
NC(N)O,0.738763,0.931169,0.459162,0.848258,0.691527
COCC(=O)NN1CC1,0.817266,0.796624,0.488251,0.794985,0.691455
CON1CC1,0.721081,0.603043,0.603496,0.923086,0.691396
CCNC,0.819029,0.547085,0.608133,0.914949,0.691304
CCOCC,0.90985,0.450934,0.700317,0.959883,0.691274
NC(=O)C1CC1,0.935192,0.717627,0.477915,0.811826,0.691205
CCOC(=O)CNC,0.88981,0.609993,0.550469,0.828096,0.691154
NC1=NC1,0.681542,0.710208,0.561156,0.883551,0.69095
COCCOCOC,0.855287,0.587186,0.563398,0.87186,0.690351
Cc1nnnn1C,0.703635,0.668287,0.584848,0.856895,0.690321
COC=O,0.677986,0.570767,0.657801,0.954866,0.690314
COCCC(=O)OC,0.93486,0.574257,0.557087,0.840943,0.69022
C1=NCC1,0.67827,0.64668,0.601029,0.89917,0.690054
CNC(=O)NN1CC1,0.77,0.928922,0.467551,0.779074,0.689941
CCOC(=O)COC,0.938654,0.538747,0.582797,0.861588,0.68989
CNCC(=O)OC,0.863827,0.674922,0.516774,0.816214,0.68971
COCN1CC1,0.810277,0.587829,0.575485,0.88603,0.689463
CCNC(=O)N1CC1,0.944468,0.674439,0.488333,0.824619,0.68942
COCCOOC,0.750713,0.576587,0.616938,0.896604,0.689342
NN1CCCC1,0.727198,0.634505,0.575686,0.896947,0.689284
CCNCC,0.856731,0.495698,0.645533,0.934685,0.689231
COC(C)(C)N,0.730434,0.575984,0.616301,0.928699,0.689113
Cc1cccnn1,0.836118,0.610301,0.572338,0.817686,0.689094
CC(N)(N)O,0.722822,0.855535,0.478285,0.859088,0.688805
COC1COC1,0.751393,0.602304,0.582659,0.908133,0.688636
CCOC(=O)CN,0.885685,0.707754,0.486007,0.82638,0.688507
ON1CCC1,0.788843,0.650872,0.536364,0.875825,0.688437
NC(=O)F,0.827374,0.629978,0.535837,0.87055,0.688357
COC(=O)CN,0.815219,0.781491,0.471863,0.843489,0.68834
COCCCC=O,0.818793,0.575562,0.588786,0.866316,0.688295
CCOCOC,0.843133,0.508698,0.632591,0.922516,0.687681
CC(=O)CCC=O,0.761786,0.66737,0.552251,0.836379,0.687578
NCO,0.71541,0.81871,0.488211,0.868208,0.687365
CC(N)=S,0.760059,0.619414,0.562497,0.898793,0.687225
COC(C)N,0.661294,0.612094,0.626794,0.926243,0.68717
COCCNC(C)C,0.909285,0.506027,0.626745,0.869447,0.687091
CCC(=O)NN1CC1,0.797115,0.712654,0.514459,0.817672,0.686754
C=C(C)N,0.744555,0.558813,0.613262,0.942082,0.686731
CC1=NC1,0.72573,0.559375,0.638681,0.914165,0.686665
CC(N)CN,0.709409,0.768328,0.510035,0.866469,0.686588
COCCCNC(C)=O,0.949124,0.612214,0.52911,0.800339,0.686524
COCCOCN,0.736448,0.696072,0.535357,0.859059,0.686521
CCOCCNC(C)=O,0.921797,0.607096,0.5384,0.808271,0.686508
C1CN1N1CC1,0.718298,0.724752,0.518795,0.885695,0.686276
c1cncnc1,0.877494,0.600406,0.546897,0.836571,0.686224
CCOCC(C)=O,0.861451,0.54292,0.59239,0.878222,0.686169
CN=C(C)N,0.660389,0.693278,0.574459,0.882596,0.686051
C=C(C)C(N)=O,0.79099,0.620673,0.549506,0.880775,0.686039
COCCOCCN,0.864579,0.706781,0.484044,0.83779,0.685984
CC(C)ON,0.723474,0.554105,0.638007,0.927777,0.685853
COCCNC(=O)COC,0.934999,0.679005,0.493222,0.79134,0.685703
COCCCC(C)=O,0.918935,0.561919,0.56094,0.844531,0.68556
COCCNCCOC,0.911766,0.635261,0.509077,0.833581,0.685529
COC(N)N,0.650341,0.788185,0.52625,0.886141,0.685504
COCCOC(C)=O,0.933464,0.56479,0.557107,0.83312,0.685267
NNCCN1CC1,0.792843,0.766301,0.485953,0.823429,0.685107
COCCO,0.857119,0.659627,0.502608,0.857156,0.685051
CCOCC(=O)OC,0.907385,0.544485,0.574939,0.861037,0.685005
CNCCOCCOC,0.863942,0.643472,0.522158,0.824471,0.684981
CCC(=O)COC,0.826848,0.541172,0.606747,0.881295,0.684922
CN1N=C1N,0.630245,0.726008,0.573938,0.881354,0.684809
CN(C)C=O,0.741415,0.655896,0.557377,0.851412,0.684692
CCOCCC=O,0.77466,0.571419,0.603325,0.873268,0.684519
CC1=NN1C,0.683157,0.615463,0.603204,0.910968,0.684447
COC(=O)CCN,0.880173,0.703696,0.481113,0.82609,0.6842
COCO,0.755227,0.646862,0.535657,0.901424,0.684199
CC(=O)CN(C)C,0.804133,0.58827,0.56969,0.868331,0.683708
CCC(=O)OC,0.901071,0.485901,0.637009,0.897259,0.683508
CNC(=O)CN1CC1,0.956015,0.82247,0.433835,0.777678,0.683438
COCCC(=O)N(C)C,0.894776,0.648147,0.509075,0.813981,0.683371
CCOCCNN,0.750671,0.663245,0.5505,0.835194,0.683324
NC1=NN1,0.653607,0.749793,0.555323,0.840683,0.683301
COOCCN1CC1,0.781362,0.609852,0.557718,0.875536,0.683207
O=CC=O,0.626444,0.718591,0.583285,0.867603,0.683182
CCOCCCN,0.885748,0.583384,0.543581,0.852279,0.683048
COCc1nnnn1C,0.744612,0.646285,0.570941,0.823236,0.683002
CCOCC(=O)N(C)C,0.88084,0.60771,0.535663,0.827235,0.683002
COCC=O,0.653955,0.616573,0.620997,0.912785,0.682957
C1COCO1,0.686928,0.614774,0.594424,0.915372,0.682929
NCCCN1CC1,0.934273,0.690004,0.477457,0.804267,0.682895
NNC1CC1,0.720437,0.671695,0.548764,0.86288,0.682827
COC(C)C,0.905183,0.450124,0.668872,0.963587,0.682687
COC1CC1,0.888913,0.476831,0.633863,0.943849,0.682679
CCOC(=O)NN1CC1,0.821762,0.645333,0.532898,0.821216,0.68251
CC(=O)NN,0.817415,0.787778,0.475218,0.791313,0.682503
CCC(=O)N(C)C,0.873903,0.574228,0.550415,0.86249,0.682361
COCCNCC(=O)OC,0.891332,0.686376,0.496233,0.787928,0.682224
CNCCC(=O)OC,0.898964,0.623836,0.520665,0.814062,0.682081
CCN(C)N,0.719323,0.578037,0.604166,0.918042,0.682054
CCC(=O)NCCOC,0.940244,0.605978,0.518196,0.818622,0.681998
CONC(=O)NN1CC1,0.689912,0.854225,0.504617,0.791507,0.681986
COCC(C)N,0.67513,0.632104,0.589662,0.903777,0.681946
CCOCC(=O)NC,0.884225,0.628333,0.520265,0.81821,0.681811
COCCCCN,0.931795,0.581355,0.528469,0.846252,0.681749
OC1=NC1,0.611641,0.808599,0.543891,0.86259,0.681483
COCCCC(N)=O,0.925315,0.675188,0.484648,0.80353,0.681472
CCNCC(=O)OC,0.88239,0.614287,0.528023,0.823294,0.681468
CN(C)C(=O)O,0.880671,0.674695,0.490413,0.824026,0.681396
CCOCN,0.675396,0.631193,0.589134,0.902117,0.681335
NC1CNC1,0.722861,0.81762,0.489658,0.818168,0.681322
COCCOCCON,0.783123,0.694885,0.513821,0.827049,0.681275
NC(N)=S,0.760478,0.731254,0.501021,0.838215,0.681267
CNCCCNC,0.836704,0.614694,0.547901,0.816681,0.681244
CCOCCON,0.759884,0.63382,0.548464,0.865912,0.681216
COCC(N)COC,0.781877,0.694273,0.508373,0.8434,0.681191
CCN1CCOCC1,0.942744,0.552496,0.536714,0.877573,0.681037
COCC(N)=O,0.839966,0.725569,0.472106,0.842582,0.680996
NC(=O)CN1CC1,0.944665,0.858186,0.420677,0.785593,0.680982
CCNN,0.697973,0.648168,0.559995,0.898378,0.680923
CCOCCC(C)=O,0.87854,0.552813,0.569263,0.853395,0.680778
COCOC(C)=O,0.847219,0.545396,0.584778,0.868234,0.680773
COCCON1CC1,0.740393,0.63252,0.555415,0.87389,0.680692
CCOCCN(C)C(C)=O,0.850582,0.584032,0.564842,0.820684,0.680642
COCCOOO,0.687944,0.648731,0.569531,0.887747,0.680578
CCC(N)N,0.744341,0.661187,0.529399,0.882047,0.680439
NC(N)=O,0.904021,0.867086,0.415494,0.824636,0.680401
COCCCON,0.776637,0.633057,0.537785,0.866855,0.680236
COCNC(C)=O,0.791444,0.635791,0.543994,0.829315,0.680223
COOCCN,0.641762,0.686552,0.570599,0.89803,0.680173
COC(N)=O,0.866501,0.662626,0.48495,0.865032,0.680121
CCNC(=O)CCOC,0.930021,0.605816,0.517673,0.817196,0.680118
COCCNCC(C)=O,0.848072,0.670887,0.506232,0.807775,0.679919
COC(=O)C(N)N,0.682851,0.932628,0.468559,0.824267,0.6798
CNCN,0.666735,0.742393,0.527671,0.874721,0.679673
C1COO1,0.646246,0.590876,0.63063,0.943565,0.679656
CNC(=O)CCCOC,0.925061,0.644106,0.498951,0.800759,0.679513
CN=C(C)C,0.68614,0.571412,0.637376,0.899845,0.679381
C1NCN1,0.617969,0.704009,0.58212,0.883892,0.679364
CN(N)N,0.627844,0.774674,0.533599,0.884354,0.679296
CCOC(=O)NN,0.813214,0.675516,0.50588,0.83214,0.679288
COOCCNC(C)=O,0.770202,0.649925,0.544139,0.823256,0.67918
CNCCN(C)C,0.87142,0.598527,0.523735,0.859819,0.679034
NN1CCN1,0.56251,0.761587,0.593441,0.896818,0.679009
COCCOCC(=O)OC,0.896794,0.625605,0.512214,0.816067,0.678975
CC(C)(N)CN,0.749627,0.709487,0.500747,0.868431,0.678888
COCC(N)N,0.645888,0.8092,0.508689,0.874288,0.678694
CN(C)CCN,0.819024,0.671885,0.495204,0.85803,0.67864
CONN,0.627272,0.705038,0.56506,0.899378,0.678636
CCC(=O)CCOC,0.850796,0.542533,0.584173,0.859129,0.678614
COCCOCCC=O,0.794352,0.648369,0.527495,0.834538,0.678514
CN1CCNCC1,0.814869,0.673731,0.506162,0.827673,0.678504
Cc1ncnn1C,0.686114,0.613557,0.607052,0.861424,0.678484
CN(C)CCC=O,0.769713,0.603652,0.562065,0.861554,0.67847
C=C(N)N,0.711378,0.69846,0.515852,0.892949,0.678441
Cn1nnnc1N,0.656796,0.727051,0.55875,0.827556,0.678421
NN1CCOCC1,0.718394,0.709307,0.516753,0.862526,0.678384
CNC(=O)C1CC1,0.935615,0.712034,0.462716,0.792294,0.678363
CNCCC=O,0.703656,0.673333,0.545914,0.862971,0.678325
NCC1CC1,0.867394,0.571398,0.534878,0.888708,0.67822
C1COCCO1,0.837537,0.615012,0.509387,0.897111,0.678219
CC(=O)CON,0.660341,0.730658,0.538812,0.860957,0.677916
CN(C)C(=O)F,0.77521,0.588218,0.562446,0.882185,0.677791
COCCCN1CC1,0.975326,0.546175,0.537182,0.844706,0.677779
CCc1nnnn1C,0.755751,0.588265,0.59262,0.839201,0.677721
CNCCOCOC,0.792304,0.627799,0.531509,0.857374,0.677645
COCc1nnco1,0.66314,0.649715,0.591727,0.857747,0.67763
CC(=O)NCCN(C)C,0.920251,0.639652,0.49873,0.800395,0.677451
CNCCOOC,0.674738,0.615487,0.599054,0.884625,0.677219
COCCCNN,0.779557,0.669328,0.520303,0.827957,0.677213
Cc1ncccn1,0.890571,0.5589,0.55137,0.84683,0.677204
CNCCON,0.672371,0.734482,0.524125,0.8685,0.677033
CC(=O)OCCN,0.856094,0.668406,0.492161,0.823083,0.676705
CNCCOC(C)=O,0.859968,0.607036,0.533853,0.81444,0.676682
CC(=O)Cl,0.831597,0.491153,0.633249,0.914347,0.676663
CCC(N)=O,0.916467,0.644532,0.479544,0.844674,0.676606
CN1CCCC1=O,0.861014,0.672138,0.509462,0.768991,0.676536
NOCCN1CC1,0.798608,0.722566,0.481549,0.833487,0.676527
CNOCCOC,0.72059,0.614719,0.566308,0.882529,0.676425
COCC(C)OC,0.718474,0.539024,0.638226,0.909278,0.6764
COCCOC(N)=O,0.872178,0.671051,0.483061,0.82812,0.67631
CC(N)O,0.713454,0.703403,0.506128,0.896255,0.676266
COCCOCC(C)=O,0.863794,0.631216,0.509218,0.826789,0.676222
COc1cccnn1,0.829556,0.567244,0.568633,0.840819,0.676099
COCC(COC)OC,0.78563,0.604405,0.553664,0.844113,0.675881
CC(C)(N)O,0.790862,0.666505,0.488803,0.902856,0.675879
NCC=O,0.622209,0.769156,0.540029,0.862238,0.675809
COOCCC(C)=O,0.71158,0.605725,0.584097,0.868691,0.67574
CCn1nnnc1C,0.760772,0.612941,0.569333,0.821548,0.675723
CCNCCCOC,0.914859,0.511466,0.578782,0.874247,0.675694
NC1CO1,0.52877,0.747003,0.617502,0.933853,0.675662
NCCCC=O,0.734589,0.692662,0.520397,0.837208,0.675554
COCCCOO,0.7846,0.594149,0.547802,0.878678,0.675543
COCOCOC,0.765262,0.568357,0.573156,0.900303,0.675486
CN(C)CCCN,0.894241,0.615547,0.495338,0.861763,0.675439
COCCn1nnnc1C,0.791613,0.655591,0.533971,0.793029,0.675409
COCCNC(=O)CN(C)C,0.908576,0.674851,0.483265,0.786689,0.675352
NC1=CC1,0.649874,0.641913,0.578869,0.910097,0.675345
COCCOON,0.615312,0.685106,0.581233,0.894748,0.675341
COCCNCN,0.750765,0.7358,0.494376,0.826664,0.675279
CC(C)(C)ON,0.736831,0.528322,0.622115,0.937634,0.675233
COC(=O)C=O,0.754417,0.62497,0.546773,0.855054,0.675216
CNCCCN1CC1,0.927933,0.601965,0.509365,0.818391,0.675216
CN(N)O,0.64419,0.71799,0.546493,0.870126,0.675194
COCCNN1CC1,0.750143,0.670884,0.5229,0.840833,0.675065
CC(=O)CCN,0.812039,0.73981,0.470285,0.822415,0.675052
CCOCCN1CC1,0.946106,0.531421,0.550807,0.853596,0.675021
CCNCCOCC,0.888997,0.506154,0.590945,0.882535,0.675009
COCOCC(C)=O,0.781937,0.61571,0.542799,0.846937,0.674986
CNC(=O)COOC,0.713754,0.677962,0.536543,0.842885,0.674965
COCCNOC,0.73774,0.609591,0.557082,0.8806,0.674924
NC(N)Cl,0.690713,0.688261,0.524528,0.892223,0.674765
COCOCCN,0.779997,0.693681,0.495213,0.843572,0.674717
CNC(=O)CCOOC,0.743466,0.673567,0.525393,0.836268,0.674672
CN=C(N)N,0.679768,0.807696,0.497281,0.827181,0.674646
CN(C)C(=O)CN,0.798457,0.839937,0.443545,0.811144,0.674494
CCNCOC,0.720483,0.554258,0.608365,0.91293,0.674389
CC(=O)NC1CC1,0.950933,0.628981,0.489708,0.801335,0.674374
Cc1nnc2n1CCC2,0.785582,0.686148,0.520814,0.780459,0.674341
CCC(=O)N1CCC1,0.95317,0.59055,0.499603,0.841827,0.674315
COc1ccnnc1,0.783419,0.611338,0.549826,0.832475,0.674286
CCNCCN1CC1,0.923731,0.600995,0.501861,0.837842,0.674241
CCOOCCN,0.660763,0.632176,0.588883,0.877705,0.674229
CC(N)(F)F,0.789326,0.513616,0.604437,0.939508,0.674229
COCCOC(=O)COC,0.896766,0.606503,0.512096,0.822023,0.674174
C=CC(C)=O,0.754895,0.514769,0.637507,0.910442,0.67405
CN1CC1N,0.576749,0.720866,0.588597,0.897317,0.674028
COCCOCCC(C)=O,0.871575,0.633315,0.508378,0.80557,0.673998
Cc1nccnn1,0.707629,0.655402,0.555312,0.83582,0.673835
c1ccncc1,1,0.488901,0.567852,0.884711,0.673771
CCCCN,0.894615,0.471216,0.624687,0.911783,0.673681
CC(C)(N)F,0.814034,0.519012,0.583443,0.935732,0.673646
CCOCCN(C)C,0.901735,0.503432,0.592932,0.864805,0.673605
CC1CCO1,0.809762,0.490852,0.629104,0.928819,0.673582
NCCCN,0.817081,0.771345,0.452632,0.82658,0.673467
COCC(=O)CN1CC1,0.856352,0.658094,0.496423,0.807723,0.67343
COCNC(=O)COC,0.812044,0.656421,0.5116,0.812161,0.673309
CNC(C)C,0.859628,0.485822,0.603372,0.940564,0.673151
CC(=O)NF,0.667846,0.63563,0.583063,0.864572,0.673138
COCC(=O)NC1CC1,0.936447,0.660684,0.47157,0.805954,0.673085
COCCN(C)CC(C)=O,0.825376,0.610408,0.532066,0.823613,0.67301
CC(N)C(=O)N1CCCC1,0.815672,0.800601,0.458859,0.775531,0.67297
CCOCC=O,0.697971,0.55766,0.618224,0.908628,0.672944
CCCNC(C)=O,0.972967,0.518649,0.563152,0.824531,0.672902
COCCc1nnnn1C,0.770206,0.642782,0.540422,0.806391,0.67288
Cc1ccnnn1,0.693597,0.667653,0.552811,0.835887,0.672855
CCN(C)CCOC,0.884559,0.49989,0.59752,0.876769,0.672825
COOCCCN,0.705699,0.635605,0.549355,0.881277,0.672792
COCCNCC=O,0.757028,0.672983,0.519175,0.824505,0.672737
CNC(=O)NCCOC,0.897501,0.685263,0.480092,0.775387,0.672709
CCNC(=O)NN1CC1,0.808257,0.808158,0.460776,0.768202,0.672653
COC(C)C(C)=O,0.703056,0.552474,0.622325,0.902996,0.672641
COCC(C)(C)N,0.728417,0.591219,0.560574,0.909828,0.672579
COCCOCC=O,0.75726,0.634787,0.534037,0.848026,0.672538
CNC(=O)OC,0.831124,0.586316,0.539658,0.842921,0.67248
COC1CNC1,0.719885,0.642937,0.531859,0.888972,0.672318
CNC1CC1,0.865616,0.527237,0.561924,0.894395,0.672314
CNN1CC1,0.645228,0.65982,0.56766,0.889755,0.672164
CNC(C)C(=O)OC,0.765848,0.630352,0.535987,0.838031,0.672139
COOCC(=O)OC,0.744704,0.599642,0.557285,0.87237,0.672134
COCCOOCCOC,0.770403,0.599028,0.559035,0.836463,0.672077
COCCOCCOOC,0.77565,0.597437,0.554557,0.843353,0.672038
COCCOC(=O)CN,0.854579,0.762409,0.452233,0.794257,0.672033
CN1CCO1,0.650007,0.566527,0.638424,0.923965,0.672016
CCOCC(N)=O,0.867268,0.656737,0.484426,0.824653,0.671969
CCNC(=O)CN(C)C,0.902602,0.614651,0.500199,0.820462,0.671944
CC(C)OC(=O)CN,0.837385,0.644526,0.497593,0.835007,0.671931
NCC(N)N,0.66791,0.957425,0.451957,0.834109,0.671912
CNCCC(C)=O,0.83313,0.655445,0.503069,0.806691,0.671884
CCNCCOOC,0.723621,0.561625,0.600279,0.88869,0.671859
COCC(=O)ON,0.708026,0.714642,0.512174,0.840261,0.671789
CCOC(=O)NC,0.902839,0.528094,0.566101,0.842254,0.671707
CCOCC(=O)NN1CC1,0.812809,0.718532,0.485733,0.784619,0.671673
CCOCCC(=O)NC,0.889556,0.627783,0.501346,0.803845,0.671624
COCCOCC(N)=O,0.868157,0.730775,0.461419,0.788484,0.671618
COCCOCCCN,0.878779,0.661554,0.480045,0.817569,0.671613
NC(=O)NN1CC1,0.74726,0.900651,0.455965,0.760915,0.671604
CNCC(OC)OC,0.720242,0.611315,0.561665,0.868383,0.671566
C1=CN=C1,0.658229,0.561083,0.644433,0.905548,0.671417
CCn1nnnc1N,0.724183,0.657993,0.547718,0.812142,0.671399
COCOC(=O)COC,0.825516,0.593778,0.53374,0.840394,0.671255
COCCC(=O)C=O,0.726542,0.667915,0.533589,0.825533,0.671252
COCCNC(=O)OC,0.925744,0.588236,0.514104,0.809858,0.671127
COC(=O)c1ncccn1,0.857918,0.669321,0.501337,0.765554,0.671076
COC(N)(N)O,0.613463,0.884504,0.493442,0.851727,0.670991
CCNC(=O)CC,0.936212,0.543728,0.539505,0.832986,0.67099
CN(C)CCON,0.716128,0.66284,0.529455,0.855595,0.670852
CNCCNC,0.803602,0.66612,0.499255,0.823441,0.6708
COCCC(N)=S,0.79075,0.634294,0.5119,0.855794,0.670782
COCCOCCN1CC1,0.924559,0.633686,0.489763,0.79184,0.670651
CNCCCOCCOC,0.878133,0.59619,0.51968,0.816937,0.670641
COC(=O)C(C)OC,0.767696,0.553786,0.589231,0.862128,0.670534
CCNC(=O)N(C)C,0.864996,0.573945,0.534566,0.835568,0.67048
CCOC(=O)CN1CC1,0.972879,0.549345,0.527499,0.81838,0.670478
CCOOC,0.665969,0.504654,0.694211,0.959085,0.670435
NCN1CCC1,0.755196,0.631533,0.524518,0.867939,0.670435
COCOCC(=O)OC,0.830706,0.609733,0.523113,0.825162,0.670312
CNC1CNC1,0.716152,0.707701,0.516381,0.818373,0.670256
CCCC(=O)NCCOC,0.955937,0.549066,0.536508,0.808627,0.670248
CCOCCC(=O)N(C)C,0.883747,0.600105,0.51331,0.818346,0.670237
CNC1COC1,0.708137,0.65528,0.526437,0.884055,0.670137
CNCC(C)=O,0.765627,0.66328,0.514972,0.824156,0.67013
COCCNC1CC1,0.906104,0.559588,0.525347,0.850969,0.670096
CCOCCOO,0.761581,0.596653,0.541785,0.880279,0.669924
COCCOC(=O)NN1CC1,0.809736,0.728711,0.485422,0.767074,0.669907
O=CCCC=O,0.643387,0.676522,0.566208,0.852793,0.669885
C1COCCN1,0.782877,0.686713,0.481641,0.860745,0.66984
Cc1nncn1C,0.673133,0.664368,0.57463,0.805977,0.669819
CCN(C)CC(=O)OC,0.86617,0.536089,0.562476,0.851637,0.6698
COCCOCCN(C)C,0.889616,0.585012,0.519416,0.824211,0.669796
CC(N)F,0.686654,0.54424,0.620395,0.937248,0.669726
OC1CC1,0.968027,0.583879,0.478397,0.879783,0.669717
